# k/h, pb22, pb2delta, pb2theta, pbs2delta, pbs2theta, pb2s2, pbs22, sigma23
1.000000000000000021e-03 3.076073364545287014e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.040404040404040442e-03 1.098969248940159460e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.574143374805650345e-03
1.108080808080808000e-02 3.589055144205219428e+00 6.067592580136368374e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 5.065792503170607995e-03
1.612121212121212302e-02 7.352521105293731374e+00 3.982190104780506168e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.009775759470135648e-02
2.116161616161616257e-02 1.225687706487564199e+01 1.047263646100316059e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.639276516063209108e-02
2.620202020202020213e-02 1.819989543229758411e+01 1.970519208805315969e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.371608767255788119e-02
3.124242424242424515e-02 2.508795400988516278e+01 3.081492288055835260e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.189330189399335741e-02
3.628282828282828471e-02 3.283358266413837612e+01 4.294394402947931866e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.078545348414150395e-02
4.132323232323232426e-02 4.134528297587080914e+01 5.551171535354374242e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 5.028141310816351683e-02
4.636363636363636381e-02 5.056829687561297249e+01 6.817414558811401548e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 6.029156901040452765e-02
5.140404040404040337e-02 6.033491208178135423e+01 8.104114827985365821e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.072908227246453572e-02
5.644444444444444292e-02 7.065440865668593062e+01 9.428687600663660362e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 8.153539912856133665e-02
6.148484848484848941e-02 8.142216404516408090e+01 1.080349043624264880e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.264982051517947625e-02
6.652525252525252897e-02 9.257267196534918696e+01 1.223574300139769377e+02 3.405109414854037286e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.040229118261323249e-01
7.156565656565656852e-02 1.040403962905209028e+02 1.368634350122493402e+02 8.687346000462111917e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.156123676079566925e-01
7.660606060606060808e-02 1.157654205451159726e+02 1.512088418812037673e+02 1.769402300907897185e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.273823737684036117e-01
8.164646464646464763e-02 1.276894573330741309e+02 1.648455520109990573e+02 2.676372460111505447e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.392592105734332120e-01
8.668686868686868718e-02 1.398674664244763051e+02 1.772412326311518029e+02 3.529017749720285479e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.512982841747941565e-01
9.172727272727272674e-02 1.518502056490509347e+02 1.882749793725004395e+02 4.291589531965203008e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.634396594905512534e-01
9.676767676767676629e-02 1.639876796717273635e+02 1.979166001912547301e+02 4.959553010137034335e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.756635237035510944e-01
1.018080808080808058e-01 1.760931378085623180e+02 2.056709133025260883e+02 5.531884496070323110e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.879530499868818649e-01
1.068484848484848454e-01 1.881364598931708656e+02 2.129564322986104230e+02 6.058237215290853328e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.003630801776996040e-01
1.118888888888888850e-01 2.000394730880871066e+02 2.194709558491801147e+02 6.536295627312568968e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.127455495028285903e-01
1.169292929292929245e-01 2.118803457692427799e+02 2.259619387691484462e+02 7.039783380405314972e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.251525747083916729e-01
1.219696969696969779e-01 2.235700721860488898e+02 2.322953762848186159e+02 7.553829394999381464e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.375729616873809291e-01
1.270101010101010175e-01 2.351326995712418864e+02 2.385766508143401268e+02 8.089696887057623087e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.499967616513230628e-01
1.320505050505050570e-01 2.465460469191203003e+02 2.448392610737948019e+02 8.649405541320702184e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.624148982931800989e-01
1.370909090909090966e-01 2.578380684440736559e+02 2.514189418043384876e+02 9.266533967360123825e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.748192513088457134e-01
1.421313131313131362e-01 2.689742570656094358e+02 2.570770814208690922e+02 9.815315496341077051e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.872027852163108741e-01
1.471717171717171757e-01 2.799417187634083461e+02 2.614490153445201486e+02 1.025739538231570833e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.995590356984658142e-01
1.522121212121212153e-01 2.907650950620209755e+02 2.656523444289409213e+02 1.070055036146950016e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.118823359468000378e-01
1.572525252525252548e-01 3.014218121606920704e+02 2.690484051901830185e+02 1.107716251946078501e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.241676284989207235e-01
1.622929292929292944e-01 3.118824463094595103e+02 2.715399689980976632e+02 1.137473286593279056e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.364103985935616437e-01
1.673333333333333339e-01 3.221292946119234557e+02 2.737593205941809060e+02 1.165525294527708127e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.486064827577541880e-01
1.723737373737373735e-01 3.322251131407672347e+02 2.749318065308061136e+02 1.183753413812310242e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.607794010055185296e-01
1.774141414141414130e-01 3.420919364357507675e+02 2.764223102901613629e+02 1.205969554967842186e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.690912087259282104e-01
1.824545454545454526e-01 3.517810694829699969e+02 2.774267427775880606e+02 1.218291519074359144e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.848779361007437783e-01
